,Question
74703,"1972: ""Sounder"""
150635,"Choreographer whose song & dance routines from ""Gypsy"", ""The King & I"" & other shows are a new B'way hit"
122714,"He's the Earl of this, also a ""Gunsmoke"" deputy"
59879,"Eremology is the study of these, like the Gobi"
55858,Daniel interpreted this king's dream about a disturbing idol with feet of clay
27272,"In your body, the small this is about 22 feet long & the long 5, but after the procedure, about 3; oops"
101510,In July 1996 he was reelected president of Russia in that country's first free presidential election
132177,"The Japanese plan in taking Kiska & Attu, islands in this U.S. chain, never really worked out"
83062,"""Small"" word meaning commonplace; this type of ""pursuit"" could lead to success at game night"
190448,"We were ""Spellbound"" when Eldred Peck acted under this name"
121692,"<a href=""http://www.j-archive.com/media/2007-06-27_J_09.mp3"">Called a ""pan"" in Trinidad, where it was invented, this instrument comes from a barrel</a>"
94453,"In the 13th century, this grandson of Genghis Khan annexed China & became known as Shih Tsu of the Yuan Dynasty"
126574,"A famous Rembrandt painting shows ""Aristotle Contemplating the Bust of"" this ancient poet"
175262,This flightless bird of Australia may weigh up to 120 pounds
123136,"In 1965 Freddy Cannon intoned, ""Oh baby come on let me take you"" there"
87945,"French term for a thickener of soups & white sauces, made from flour & butter heated to form a paste"
23553,There are 100 ares in one of these metric units of land area measure
147551,"Breaker, breaker--it's a nickname used by a CB enthusiast while broadcasting"
117642,"Asked if he was alone on his stamp, this '50s ""R-O-C-K"" star would have ""no comet"""
118593,"""Many hands M. L. W."""
24034,"This Pennsylvania town is the ""weather capital of the world"", not just on February 2, but all year long"
48862,A hostler or ostler was employed at an inn taking care of these animals
158789,In 1993 the failure of the handheld Newton device helped force out John Sculley as this company's CEO
140770,In 1996 King Simeon returned to Bulgaria; he had fled in 1946 after a takeover by this very anti-king political party
70240,"Singer seen <a href=""http://www.j-archive.com/media/1997-09-11_DJ_28.wmv"">here</a>, she was the CMA's Female Vocalist of the Year in 1989 & 1990:"
22487,The fifteenth Pope with this name reigned from 985 to 996
129003,This sought-after spring was thought to be on Bimini; Ponce De Leon then sought Bimini but found Florida instead
3574,"For the military, zoologist John Kerr developed the ""dazzle paint"" type of this, something animals also use"
13667,Nebraskan Chuck's donut-shaped breakfast rolls
68898,"(Hi, I'm Jake Plummer, quarterback for the Arizona Cardinals)  On November 16, 1997 I set an NFL rookie record by passing for 388 yards, breaking the record set by this Cowboys quarterback"
122821,"Befitting his importance, this 13th century conqueror appears on Mongolia's larger currency"
74598,"An athlete with this inflammation that affects a certain arm joint may make quite a ""racket"""
112012,"After nearly 200 years of Russian & Soviet rule, this country regained its independence in 1991"
163639,"Act I of this Tchaikovsky ballet is called ""The Spell"""
157495,"The Kennedy Center's Grand Foyer is so large this D.C. obelisk would fit in it, if laid on its side"
97292,"In the 1880s N.Y. tried to close sweat shops making these, & Oscar Hammerstein made a machine to roll them"
85941,"These 2 younger brothers of Barry Gibb were born Dec. 22, 1949"
127295,At 14 Wynton Marsalis was a featured soloist on this instrument with the New Orleans Philharmonic
115133,"Of the letters in the bottom row, the last alphabetically"
28290,"Article 40 of this 1215 document stated, ""To no one will we sell, to no one will we refuse or delay right or justice"""
110876,A charge for services
15026,"The open-air Makola Market is a popular place to shop in Accra, the capital of this African country"
78155,It's also the sixth-largest country in area
174454,It's the European city you'll visit to see the dome seen here
6627,In November 1910 he was elected governor of New Jersey
158024,This spicy poultry appetizer is popularly served with blue-cheese dressing & celery sticks
57337,This saint's cross appears on the provincial flag of Nova Scotia
52743,Fitzgerald attended this New Jersey university but left for the Army in 1917 without a degree
107333,"Garcia Marquez' ""Years of Solitude"""
10559,Around 400 B.C. the Greek Ctesias described it as having a white body with a straight cubit-long horn
71215,"<a href=""http://www.j-archive.com/media/2010-05-14_DJ_04.mp3"">This a-guy, he got me on my a-knees with his singin' on ""Layla"" & ""Wunnerful Tonight""</a>"
100737,"For mutual funds go to your broker; to invest this way, French for ""betting amongst ourselves"", go to the track"
143726,George Washington University
110343,The naked-mole rat found in northern Kenya is a burrowing rodent that lacks this sense
198603,I'll choke you until you do this if you don't come up with the right word
173256,"A gift from the Japanese, Prunus serrulata is one of the chief species of this tree planted at the Jefferson Memorial in 1912"
126133,A nonexecutive provider of business funds
69616,"The 48th U.S. state to join the Union, this Southwest state is now 17th in population"
15462,Its mass is more than twice the mass of all the other planets combined
13685,There's a SpongeBob SquarePants 4-D ride here; still trying to figure out the King Arthur's sword angle on that
83508,"A student of this university's Trinity College, Newton graduated in 1665 without honors or distinction"
93378,Barry C. Black holds this job; his duties include teaching Senate Bible-study groups
95279,John Garfield earned an Oscar nomination for playing a corrupt boxer who becomes champ in this 1947 film
54818,Torn sweatshirts & legwarmers were all the rage after this 1983 Jennifer Beals movie
186652,Kyung Hee University
146689,"3 types of this hardware found on doors are self-closing, pivot, & butterfly"
41305,"Isabella Rossellini sang the title song, an old Bobby Vinton hit, in this 1986 film"
134830,"I got to tell you, the nose of this comic legend is seen <a href=""http://www.j-archive.com/media/2008-06-26_J_21.jpg"" target=""_blank"">here</a>"
31780,She's the high-flying nanny of Jane & Michael Banks
149779,"""Clown"" is the 1954 autobiography of this creator of the mournful clown character Weary Willie"
88999,"On August 4 he was born in Honolulu, & he has the papers to prove it"
212075,"Premiering in 1972, it was the first spinoff of ""All in the Family"""
57836,____ & His Comets
156226,"A ""feminine"" city on Prince Edward Island: NEWT LOOT CHART"
129178,It assesses no personal taxes
72288,"He once said that he ""cried like a baby"" while writing about Kunta Kinte"
39375,this South American ruminant that's related to the guanaco
16474,IKEA's Fira is a mini-chest of drawers intended for these entertainment items in their jewel cases
100276,"(<a href=""http://www.j-archive.com/media/2005-12-21_DJ_17.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from Riga, Latvia.</a>)  In 2005 here in Riga, President Bush honored the end of World War II, but also regretted this February 1945 pact that lead to the Iron Curtain"
37356,"The Baker's Local No. 338 formed between 1910 & 1915 was for an elite group of bakers of these ""Jewish Donuts"""
130654,This state's Nihau Island has been privately owned since the 1860s
119001,"(<a href=""http://www.j-archive.com/media/2008-12-17_J_25.jpg"" target=""_blank"">Kelly of the Clue Crew reports from Monticello in Virginia.</a>)  For convenience, Thomas Jefferson built into the sides of the fireplace <a href=""http://www.j-archive.com/media/2008-12-17_J_25a.jpg"" target=""_blank"">these</a> small elevators to bring wine up from the cellar--it's not as unintelligent as it sounds"
136238,"In 2006, Jack Black hosted this annual Nickelodeon show"
112720,Max Brod befriended this budding writer while in college in Prague
146606,Lorne Greene & Edward James Olmos
156470,"Canals connect this 2200-mile long river to the Baltic, Black & White Seas & to Moscow"
195930,"Upwardly ""mobile"" Alexander"
902,There are more farms in this large southwestern state than in any other
151923,"A boll weevil, or an annoying brat"
108404,"Chapter 6 of his book concerns his deep anguish; in chapter 10, he questions his oppression"
181781,The fossils in this type of rock may remain even after it's changed into marble
39905,Percy is Governor Ratcliffe's pampered pooch in this 1995 release
86689,"By definition, this adverb describes something that happens every 3 years"
209988,Sally Rogers was Rose Marie's role on this classic TV show
68946,"Jonathan Buttall is the young man in this ""colorful"" work by Thomas Gainsborough"
154666,Linda Fiorentino leaves her husband & makes off with his cash in this 1994 thriller
89654,"You may find ""awk"" for ""awkward"" next to this type of ambiguous modifier, like ""shake before using"""
89489,This Denver baseball stadium is known for its red brick exterior & on-site microbrewery
67559,This German won 7 of 9 Wimbledon women's singles titles from 1988-1996
198403,"This female Motown vocalist was born in Alabama one July 18, maybe during a ""heat wave"""
29889,Rabindranath Tagore translated his own poetry into English from this language spoken in Dhaka
196240,Prince Charles is the Duke of Cornwall & Prince Philip is the Duke of this
184274,"A foot of 2 unstressed syllables or a costly type of ""victory"""
200499,"""Love apple"" is an old name for this popular salad ingredient"
134760,William Sydney Porter
10941,"This French actress played a seductress in ""Damage"" before nursing ""The English Patient"""
169584,"In 1935 Amelia flew solo in about 18 hours from Wheeler Field, located here, to Oakland, California"
159195,"This quantity symbolized by an x or y, can also mean someone inexperienced on untested"
107267,"""Pore"""
158540,In 1993 this Texan cashed in his Senate seat to become President Clinton's Secretary of the Treasury
23645,"The Nisei Week Festival is held every August in the section of Los Angeles known as ""Little"" this city"
72979,"In summer, this seafood is sold at stands fresh & whole; at other times, it's eaten pickled"
215106,"Warren Beatty as a Rams QB: ""Heaven ____ ____"""
115508,"General Rafael Urdaneta Bridge, one of the world's longest, spans this Venezuelan lake"
178869,(Sofia of the Clue Crew)  I'm using a sensor to find one of these behind the wall; that'll be a secure spot to nail up a picture
85424,"Mold gives this type of colorful cheese, like Roquefort, its flavor"
70436,"Police precinct Barney Miller ""dozen"" work at any more"
95644,"Galen's neighbors heard the squeals of stuck pigs when he proved that veins carry this, not air"
123183,"In Avoyelles Parish, 3 miles southeast of Marksville"
213892,Open a Swiss bank account in the currency of Switzerland & it'll be in these
200491,This traditional Chinese medical technique uses fine metal needles & has its roots in Taoism
164116,"This ""geographic"" police outfit announced it had foiled a kidnap plot against Posh Spice"
50690,"Nicole Farhi, who married playwright David Hare, is called the ""Donna Karan of"" this world capital"
131571,A dangerous new virus is actually 2 files which share their names with these 2 Shakespearean lovers
215962,Not Calhoun but this John C. from Kentucky was U.S. VP from 1857 to 1861 & then Sec. of War for the Confederacy
199685,"(<a href=""http://www.j-archive.com/media/2011-05-27_DJ_23.jpg"" target=""_blank"">Sarah of the Clue Crew reports from a pineapple plantation.</a>) The pineapple shoots that grow from the mother plants after the main harvest are called the ratoon crop--also the Hawaiian term for a baby born to late-in-life parents, the word is thought to be from the Latin for this season"
111647,"""Friday Night Lights"""
210286,"""Chuma"" in Hindi, it happened on screen in India for the first time in a mainstream movie in 1977"
121507,"One who gets into a concert for free, a fan of the Grateful Dead, or both"
70156,"Willa Cather was born in this ""Old Dominion"" state, not in Nebraska"
199676,"Number of ""Weeks"" in a Mickey Rourke film plus the title of a Fellini film; they add up to a whole number"
33619,India: 1947-1964
121996,"His ""charge"" was the Confederacy's last chance effort to win the Battle of Gettysburg--didn't work"
57341,It's the capital city of 1.8 million
93469,"Samuel was proud of compiling one of these on his own in 9 years, a task that took the French Academy 50"
46073,"Deers are the only animals with bones called these; in most species, only the males have them"
134409,"The Michauxes added pedals to the front wheel of a velocipede & became the ""fathers of"" this vehicle"
36284,An April 1997 auction of Clyde Barrow's belongings raised money to fund moving his grave next to hers
141295,"Argentite, made up partly of this metal, is found in veins of it"
203759,He's had 4 No. 1 hits:  1 solo & 3 with Art Garfunkel
143925,"He was knighted in 1879 for a method of stamping deeds, not for his steelmaking process"
119097,Emil Pallenberg first trained bears in tightrope walking working for these brothers' circus
69862,"Give the patient 250 c.c.s of normal saline, c.c. standing for this"
68922,Daniel Webster served only a month as Secretary of State for this president
49262,"Never mind the Sex Pistols, this punk couple found life after death as a 1986 feature film"
88000,As an adjective it can mean either sexually explicit or Puritanical
101661,"(<a href=""http://www.j-archive.com/media/2007-09-12_DJ_28.jpg"" target=""_blank"">Kelly of the Clue Crew tours a warehouse.</a>)  Watching the Macy's parade, you may not know the floats are built here in a warehouse in this New Jersey city, also known as Sinatra's hometown"
114495,Lester B. Pearson International Airport
68923,"Though it sounds like a more hasty or reckless way to make bacon, this 6-letter word refers to one slice"
159933,"The first baptisms in this island country were on Cebu, by priests accompanying Magellan"
208723,"""Diana of the Crossways"" & ""The Egoist"" show this Victorian novelist's views on women's rights"
142890,"The ""Pig Bowl"" is a California charity football game between people of this occupation"
100667,Jascha Heifetz
122197,Phone home & then spell....
103920,"In ""Psycho"" Anthony Perkins says, ""A boy's best friend is"" this person"
170992,"The name of this rodent that hibernates nearly half the year may come from the French for ""sleep"""
84902,"""Lost Moon"" by astronaut Jim Lovell launched this 1995 film"
16885,"Daphne du Maurier fans love to stay at this Cornwall ""Inn"" with a Caribbean name; it inspired one of her novels"
56565,"Green, fava, lima"
120176,"This king takes the crown by murder & later laments, ""Behold, mine arm is, like a blasted sapling, withered up"""
196388,In January 1777 Baltimore's Mary Katherine Goddard was hired to print the first official copies of this
55155,"In 1906 explorer Fanny B. Workman claimed to have climbed higher than 23,000 feet in these mountains"
175058,"Swedish producer Max Martin wrote this 1999 hit, the first title containing an ellipsis to top the Billboard Hot 100"
44398,"After being ""A Tramp Abroad"", this author yearned for home-style foods like possum & 'coon"
190169,It was this Eisenhower Chief Justice who wrote the Opinon of the Court in Brown v. Board of Education in 1954
191775,"This book begins, ""The sun did not shine.  It was too wet to play.  So we sat in the house all that cold, cold, wet day"""
116124,"An old French dance from a German folk dance, or a square dance move"
131946,"With the ratification of the Treaty of Ghent, this president declared the War of 1812 over"
141252,"""Eureka! (I Have Found It!)"""
21296,No. 5:  The first of the 5 alphabetically
99214,"Built for the Home Insurance Co., the first skyscraper was constructed in this U.S. city 1883-85"
15610,The moveable barrier where a horse race begins
29850,"On a square, it's the total number of degrees of the interior angles"
116592,"(<a href=""http://www.j-archive.com/media/2008-02-13_J_18.jpg"" target=""_blank"">Documentary filmmaker Ken Burns delivers the clue.</a>)  My 1st documentary shown on PBS, and later nominated for an Oscar, was about <a href=""http://www.j-archive.com/media/2008-02-13_J_18a.jpg"" target=""_blank"">this magnificent 19th century New York City structure</a>"
208745,"Caligula liked to quote Accius' ""Oderint dum metuant"", ""Let them hate so long as they"" do this"
166120,"The Texas state fair's 212-foot ferris wheel, North America's tallest, is called the Texas this symbol"
32831,"Baseball cap features, Buffalo athletes, credit-card mailings"
498,Quickly! (to an Italian)
97635,"City that's often called ""the rubber capital of the world"""
120379,The play's the thing in a theatre named for this bird to which Ben Jonson compared Shakespeare
197931,The Andaman & Nicobar Islands are 2 major island groups in this large bay
88546,"On ""All in the Family"", Edith Bunker referred not to V-E Day or V-J Day but this, um, relative"
66633,Manhattan is known for these handsome sandstone buildings named for their dark hue
46708,"(<a href=""http://www.j-archive.com/media/2010-03-22_DJ_16.wmv"">Kelly of the Clue Crew stands in front of a map of Wyoming and Montana.</a>)  The caldera of a supervolcano that last erupted 640,000 years ago covers much of the 2.2 million acres of <a href=""http://www.j-archive.com/media/2010-03-22_DJ_16.jpg"" target=""_blank"">this</a> national park"
208697,Cleopatra is said to have used rejuvenating products from this saline body of water in which the Jordan ends
133096,"Meaning ""mountain"", it precedes Loa & Kea"
153920,Let's all have one of these icy rum cocktails named for a Cuban rum-producing district
186747,This part of a tree consists of the outer cork & the inner phloem
119386,Otter & Walrus are 2 islets of this Alaskan group that is known for its fur seals
144336,"It was in a letter to Jean-Baptiste Leroy that he wrote nothing is ""Certain except death & taxes"""
196082,The town of Koudougou is west of Ouagadougou in this country
133742,"Hats off to this city, Italy's second largest"
139613,"Federal holidays: Memorial Day, Independence Day..."
98899,Thurmond & Hollings
200336,A Shavian isn't a clean-shaven man; it's a devotee of this bearded playwright
162915,"(1986) The Bangles: ""Saunter Similarly to Tut or Ramses"""
31718,"Awesome, dude! Deuteronomy says that all debts are to be canceled after this many years!"
1419,"As seen in a 1997 film, he was Victoria's beloved servant, but we're not sure how she felt about his ""body"""
13029,"Amory Blaine, a handsome, spoiled Princeton student, was the hero of this man's first novel, ""This Side of Paradise"""
176669,"On Oct. 2, 1967 he was sworn in as the first African-American Supreme Court justice"
91064,Ryan has a big ball of it in his bedroom
54583,"The community of Darby in this state claims the USA's oldest free library, founded in 1743"
103804,"Add a letter to a word meaning ""an assembly of witches"" & you get this word that describes a hoof"
55577,"This adjective that means ""free from living bacteria"" can describe a person unable to reproduce"
65929,"When Zeus flooded the world, Deucalion built one of these; hmmmm, that story sounds familiar"
20507,"This mineral is the most stable form of carbon, though not when you sharpen your pencil too fine"
49313,"For the song ""Gretchen at"" this device, Schubert wrote a piano part to imitate its <a href=""http://www.j-archive.com/media/2009-03-06_DJ_28.mp3"">whirring</a>"
171458,"Four years before ""Laugh-In"", Jo Anne Worley understudied Carol Channing in this smash hit musical"
147743,"Newsweek called this film directed by Guy Ritchie ""Madonna's Shipwreck"""
61555,Mom role shared by Barbara Billingsley & Janine Turner
8761,"He's the Harry heard here:  ""Dayyy...."""
60896,"Also known as a silvertip, it can weigh up to 900 pounds"
183254,"It can mean even all over, or an outfit worn by all the students at a school"
178164,"As Jamie, young blonde Nicole Eggert has Scott Baio governing her life on this sitcom"
212923,"""Rocket Man"" Reginald Dwight"
64741,This Baltic language is also known as Lett
26918,The Apple iBook & Powerbook are this type of portable computer
66404,This capital of South Australia was named for the wife of King William IV
47228,It uses the Monegasque franc
93184,"""J.S.S."" by Rudyard Kipling"
152894,"When asking for the name of this mid-20th century British author, we will of course accept his real name, Eric Blair"
65363,Bill Clinton may know there's an oil and brine museum in Smackover in this state
48801,The glass curtain at Mexico City's Palace of Fine Arts was made by this company
194252,It's the illegal enticing of a suspect into committing a crime; that's my story & I'm sticking to it
205074,"Its currency is the peso & it comprises over 7,000 islands"
42982,In 1993 Werner Gunther of Switzerland threw one of these 72 feet 1 inch
7190,"The Al Pacino legal drama ""...And Justice for All"" marked the screen debut of this actor, later TV's ""Coach"""
17903,"German thinker who saw a link between ""The Protestant Ethic & the Spirit of Capitalism"""
50705,...of Jesus' 12 original apostles
132898,"American mezzo-soprano Marylin Horne did the singing for this actress in the 1954 film ""Carmen Jones"""
165706,"Russia's southernmost point lies in Dagestan, a republic bordering this saltwater lake"
90896,"One of the last lines of this Vietnam war-set film is <a href=""http://www.j-archive.com/media/2009-10-12_DJ_01.mp3"">""The horror... the horror""</a>"
137853,It's the ancient Mexican sacred site seen here
67360,In 1999 this store whose symbol is seen here promoted a French pronounciation of its name: (Bullseye)
125663,"In this 1964 film Richard Burton was an alcoholic, philandering ex-clergyman in Mexico"
158059,Since 1869 this 9-member group consisted solely of men until Potter Stewart retired in 1981
160732,This food brand has been hamming it up with its Little Red Devil trademark since 1870
196585,The plot for this early talkie paralleled the story of Al Jolson's own life
45752,On old maps the African country of Ghana was known as this coast
162549,"A Nobel Prize winner: ""Don't worry about your difficulties in mathematics.  I can assure you mine are still greater"""
62760,"Ko-Ko, Yum-Yum & Nanki-Poo are all characters in this operetta"
204768,This company goes by GE
201050,This country formerly known as Dutch Guiana gained independence in 1975
146101,"In the Bible's Book of Judges, he carried the Gates of Gaza about 40 miles to a hilltop near Hebron"
77831,"The number of U.S. colonies of Apis mellifera, this type of bee, declined by about 50% from 1945 to 2005"
49710,"Inchon, Pusan"
174991,"In 1998 November 1 is a Sunday; therefore, this date will be election day for Congress"
38857,"LOL: ""Laughing"" this way"
5068,Sidney Poitier starred in the 1961 film version of this Lorraine Hansberry drama about a black Chicago family
59127,"By the time her ""Middlemarch"" was published, she was generally recognized as the greatest living English novelist"
157459,"When you mean something sincerely, you say it from this part of your heart"
148528,This fruit is divided into wine & table groups
105058,"Singer Vikki thinks ""it must be him"" of English dramatist Harold & hyphenates her name to become..."
32137,Akiko Kojima became the first woman from this continent to win the Miss Universe pageant in 1959
107088,Quaker gatherings for either business or worship are called these
46981,It's the term for an adult insect after metamorphosis
161124,"Berlioz's opera about ""The Damnation Of"" this man features the ""Dance of the Sylphs"""
165349,It's the scientific name for a mother kangaroo's pouch
165996,"A 1974 episode found this ""Happy Days"" lad refusing to cheat on the rigged game show ""Big Money""; such a nice boy"
138295,You may be surprised to find casinos in this capital of Nepal; you'll find one at the Hotel Yak & Yeti
42134,In 1998 this Mideast group got its status at the U.N. upgraded
172311,"The recent film from Mira Nair, the director of ""Salaam Bombay!"", takes its title from this Hindu love manual"
73005,Pioneering computer programmer Grace Murray Hopper coined this term for a mysterious computer problem
92996,"The largest lake in this South American country is a reservoir, W.J. Van Blommestein Lake"
65426,"Members of the U.S. Army special forces are also called this, from part of their uniform"
127763,"If you want to lend Atlanta money to fix its sewers, buy municipal these"
25435,"In I Kings 2, this man sat ""upon the throne of David his father; and his kingdom was established greatly"""
114423,"Bartlett's says this athlete's slogan, ""I am the greatest"", was inspired by wrestler Gorgeous George"
35668,San Francisco's mission district has undergone this process often signaled by the opening of a Starbucks
203522,"I spent most of the final years of my life in this Scottish capital, where I died & am buried"
34452,In the 1890s Adolphus Busch developed this superpremium beer still marketed by Anheuser-Busch
112356,"A tour of this may include visits to its DNA lab, the material analysis unit & a display of over 5,000 weapons"
37717,Dennis Franz has won several Emmys for playing detective Andy Sipowicz on this TV drama
136885,"In a 1921 edition of Ziegfeld's ""Follies"", she introduced ""Second Hand Rose"""
10662,"When handled, these jumpers spit a brown liquid some call ""tobacco juice"""
5737,"This adjective can mean extremely ornate or refer to the music from 1600 to 1750, including that of Vivaldi & Handel"
51140,"In 1989 the aging members of this band toured with a special version of the rock opera ""Tommy"""
88986,"007 film song in which Paul & Linda McCartney wrote of ""this ever-changing world in which we live in"""
3274,"Perhaps knowing her time was nigh, <a href=""http://www.j-archive.com/media/2006-10-19_DJ_19.jpg"" target=""_blank"">she</a> asked President Bush to be removed as a Supreme Court nominee"
32958,"Kingston, Havana, Nassau"
76488,"Canis Major & Sextans A are 2 examples of these ""tiny"" galaxies that have far fewer stars in them than others"
155544,"Based on its etymology, it's the period in a human's life when you'd expect him or her to be speechless"
9595,1956: The Red Sea is parted
82393,"Japan's emperor was worshipped as a descendant of Amaterasu-Omikami, this religion's sun goddess"
125485,"1994: ""Can You Feel the Love Tonight?"""
82776,"Your cousin might know a friend of the roommate of a nephew of the lawyer of John Guare, who wrote this 1990 play"
98355,"(<a href=""http://www.j-archive.com/media/2005-06-16_DJ_06.jpg"" target=""_blank"">Jimmy of the Clue Crew delivers the clue in front of a projected slide of a painting.</a>)  Dutch still lifes often remind us of this Latin word for pride and mortality--the skull is a rather stern reminder"
29223,The Sauk chief Keokuk is buried in the city of Keokuk in this state
84996,"According to ""The Music Man"", ""Ya got trouble"" in this place"
47361,Missouri's is the hawthorn
45254,"This novelist & medical school graduate (Harvard '69) created the TV show ""ER"""
216201,"One of his last collections of tales, ""Uncle Remus and the Little Boy"", was published posthumously in 1910"
182414,On Labor Day in 1990 this title character & her friend Tootsie opened a catering business
40787,"The name of this city, an early logging center, is French for ""clear water"""
154318,Independence or self-government
192073,"As a result of the Napoleonic Wars, this country lost Norway to Sweden in 1814"
69943,"In a Stravinsky ballet, this title creature gives Prince Ivan a magic feather"
174100,"$1 bills tell you which Federal Reserve bank issued the bill; ""A"" represents the district in this New England city"
172377,Both Susan Blakely & Jessica Lange played this tragic Hollywood actress in 1980s films
5413,"Playwright who made his film debut in ""Renaldo and Clara"" in 1978 & won a Pulitzer Prize for Drama in '79"
31437,"Typically, this dwelling was made with 10 or more bison skins & 20 or more cedar poles"
85718,To kidnap
26785,"This author proclaimed the amoeba the official mascot of his novel ""Even Cowgirls Get the Blues"""
15209,"Good & evil brothers are the leads in ""The Master of"" this"
203701,It's any secluded road sought out by the amorously inclined -- perhaps for amorous reclining
83440,"(<a href=""http://www.j-archive.com/media/2001-10-04_DJ_23.jpg"" target=""_blank"">Hi, I'm Colby Donaldson from <i>Survivor</i> 2.</a>)  It's a 1971 movie, or a return to Australian Aboriginal life, including survival in the bush"
105727,"In 1964 Sills wowed critics in this composer's ""Don Giovanni"" & ""The Abduction from the Seraglio"""
130635,"Liz Taylor got an Oscar for playing Gloria Wandrous, model by day, call girl by night, reached at this title number"
45956,"Sheboygan is the ""Capital of the World"" for these, ""brats"" for short-- let's go there right now"
122013,"Lizards that have a brille, a transparent scale covering the eye, keep it clean by doing this to it"
30006,Ashurbanipal turned this capital city of Assyria into a cultural mecca
51392,"Early 14th century: ""I was running 'round hell's circles till I saw your heavenly spheres"""
150086,"Composer Carl Stalling used Grieg's ""March of the Dwarfs"" in the first of these Disney ""Symphonies"""
118115,"Patrick Dennis' ""Mame"""
71221,"<a href=""http://www.j-archive.com/media/2010-05-14_DJ_07.mp3"">On ""The Wunner Years"", this kid played Kevin; he also a-directed ""Daddy Day Camp""</a>"
25215,"The name of this often brimless hat, popular in the 1920s, is French for ""bell"", after the shape of the hat"
52801,"It's the 1972 film with the timeless line ""Leave the gun.  Take the cannoli"""
125673,Bratislava is the capital of Slovakia & Ljubljana is the capital of this former Yugoslav republic
172364,"Appropriately, you'll find “The Appian Way” at this hotel casino on The Strip"
31765,"The amount of this per liter determines if champagne is brut, sec or doux"
205145,"In the late '60s, this long cover-up with a Turkish name became popular not only for women but for men too"
2314,"Peter Ustinov directed & starred in the film version of the Yasar Kemal novel ""Memed, My"" this predatory bird"
210677,"Intestines, or intestinal fortitude (4)"
96299,"When he played Macbeth onstage in 1947, his now-famous daughters were little girls"
103769,"He's the gross & stupid king or ""Roi"" in an 1896 avant-garde work by Alfred Jarry"
181260,"Holey Cow!  The city of Monroe in this state calls itself the ""Swiss Cheese Capital of the U.S.A."""
58253,"""Rich"" in democracy, this country held some of Central America's first free elections in the 1890s"
175674,"He wrote about his imprisonment in Rome in 2 Timothy, saying, ""I have fought the good fight...I have kept the faith"""
206451,"It's what the ""O.G."" stood for in Ice-T's album title of the same name"
67566,"Named for the modest wife of Pepin the Short, a bertha is a wide one of these blouse features"
134109,Its name is synonymous with French luxury: TOUT US VIOLIN
42942,He was born Georgi Melitonovich Balanchivadze
105195,A visit to the southern Israeli resort city of Eilat might include snorkeling in this sea
89982,Last name of twin brothers Francis & Freelan who manufactured steam-driven cars
125900,"Author who wrote that it angers God ""if you walk by the color purple in a field…and you don't notice it"""
20348,"Cooperstown, New York"
57479,He was the last of the 3 men who were king of England during 1066
47293,In December 1995 Bill Watterson ended this comic strip about a 6-year-old boy & his stuffed tiger
127670,"After dropping out of the Univ. of Maryland, he exposed the Watergate scandal with Bob Woodward"
12595,"A village in Berkshire, England or a scarf with broad ends"
207570,Joe Namath's Jet uniform No. divided by the title number of a TV police car driven by Martin Milner
140882,Hero of Agincourt who goes solo on a date with 2 other couples
99927,"Construction was completed on this Boston landmark in 1742, a year before its builder Peter Faneuil died"
130480,L.L. Bean sells these brightly colored blankets named for an old North American trading company
43692,"Parang, a style of music with songs called anunciacions & nacimientos, is popular at this time of the year"
197609,"If the show's named after you, they can't kill you off over a contract spat, can they?  Hmm... ask this ""Valerie"" star"
38146,This brand name has become a noun & a verb for vacuum
136358,They're also called oviducts
129028,"(<a href=""http://www.j-archive.com/media/2008-01-18_DJ_22.jpg"" target=""_blank"">Kelly of the Clue Crew gets nearer, much larger.</a>)  It's the camera attachment that accounts for the way you're seeing me right now"
4429,"It was called ""A Poem  Of Walt Whitman, An American"" before it was called this"
123559,"Mr. Cardini's 1924 invention, it was called ""The greatest recipe to originate from the Americas in 50 years"""
209705,"Born near Ada, Oklahoma in 1918, he was one of the first evangelists to hold large-scale television revivals"
128583,"Robert Frost wrote, it ""Is the place where, when you have to go there, they have to take you in"""
83781,"A supporter of a school, team or organization; he may find others & form a club"
87653,In Roman numerals it's XCIX
99656,A real softy: CHAIN CHILL
97026,His first wife
98261,"This brand of syrup comes in a bottle shaped like a lady, & the syrup pours from the top of her head"
15394,A martini is usually garnished with an olive; a Gibson is garnished with one of these
209214,"In 1836 Congress adopted the first of these ""rules"" stopping itself from debating slavery"
80260,Has cancelled an entire season due to labor woes
208534,"In 1987 this group dreamed up its first Top 10 hit, heard here"
66737,"From 1965: ""Sont les mots qui vont tres bien ensemble"""
103672,Hey Verne!  An around the world is a round of golf played in this many strokes
24892,The First Lady of Jazz
3514,Its alias is turnip cabbage (8)
82493,"American winners of this Olympic event include Bob Mathias, Rafer Johnson & Bruce Jenner"
109951,"This blonde ""Casino"" actress serves as the rock associated with the coronation of Scottish kings"
133967,"This star of ""Rush"" and ""Speed 2"" is the son of actor-playwright Jason Miller"
11706,"The ""Oil Capital of the World"", it's also Oklahoma's second-largest city"
194696,"A plain old ""miller"" usually means one whose mill grinds grain into this"
148644,"Tom Hanks & Carrie Fisher were ""Jeopardy!"" fans in this black comedy of life in suburbia"
79490,"From the Latin for ""middle"", it's the lowest balcony in a theater"
199284,"This singer took ""Oh, Pretty Woman"" to No. 1 in 1964"
93190,"""D.O.A.M."" by Nikolai Gogol"
